"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
ASSEMBLY 2013,,,,,,Last Updated: 03/27/2014,,,,,,
,,,,,,,,,,,,
OFFICIAL,"DATE OF PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC PURPOSE","NOTICE RECEIVED","YTD AMOUNT BY MEMBER"
"Chavez, Rocky",10/29/13,State Building And Trade Council of CA,Sacramento,CA,"5,000",California Veterans Benefit Fund,Sacramento,CA,Dedication for California's Vietnam Veterans Memorial & 25th Anniversary Ceremony,Charitable,12/10/13,
,11/01/13,United Services Automobile Association (USAA),San Antonio,TX,"10,000",California Veterans Benefit Fund,Sacramento,CA,Dedication for California's Vietnam Veterans Memorial & 25th Anniversary Ceremony,Charitable,12/10/13,
,11/06/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Faith Lutheran School K-8,Vista,CA,Asm Chavez nominated Faith Lutheran to  receive the Barona Education Grant for updated reading materials.,Charitable,3/7/14,
,11/12/13,California Correctional Peace Officers Association,Sacramento,CA,"5,000",Calfornia Veterans Benefit Fund,Sacramento,CA,Dedication for California's Vietnam Veterans Memorial & 25th Anniversary Ceremony,Charitable,12/10/13,
,,,,,,,,,,,,"25,000"
"Conway, Connie",02/16/13,"Global Energy & Technology, Inc.",Ventura,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,3/19/13,
,02/19/13,Aerovironment,Monrovia,CA,"10,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,3/19/13,
,03/05/13,"Alcoa Fastening System, Inc.",Torrance,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,3/19/13,
,03/14/13,California Business Roundtable ,Sacramento,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Public Policy's UAV Symposium,Legislative,4/23/13,
,03/18/13,Jeff Gorell for Assembly 2012 ,Rancho Santa Margarita,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Public Policy UAV Symposium: ,Legislative,4/23/13,
,,,,,,,,,,,,"30,000"
"Cooley, Ken",11/13/13,Capitol Network,Sacramento,CA,"5,000",Court Appointed Special Advocates Sacramento,Sacramento,CA,Charitable donation to organization that serves women and children,Charitable,12/18/13,
,,,,,,,,,,,,"5,000"
"Daly, Tom",08/21/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Sepulveda Elementary School,Santa Ana,CA,"Barona Educational Grant awarded to Sepulveda Elementary for 12 Ipad minis, cases and educational apps for in-classroom learning",Charitable,9/12/13,
,,,,,,,,,,,,"5,000"
"Dickinson, Roger",01/04/13,Sacramento Association of Realtors,Sacramento,CA,"2,500",Gifts to Share:  Celebrate California,Sacramento,CA,Celebrate Sacramento Community Fair held in William Land Park,Charitable,11/6/13,
,02/25/13,Personal Insurance Federation of California,Sacramento,CA,"5,000",Roberts Family Development Center,Sacramento,CA,Fundraiser (Dinner) on behalf of the Roberts Family Development Center,Charitable,11/6/13,
,02/25/13,Plumbers and Pipefitters Local 447,Sacramento,CA,"5,000",Roberts Family Development Center,Sacramento,CA,Fundraiser (Dinner) on behalf of the Roberts Family Development Center,Charitable,11/6/13,
,02/25/13,Kaiser Permanente,Sacramento,CA,"2,500",Roberts Family Development Center,Sacramento,CA,Fundraiser (Dinner) on behalf of the Roberts Family Development Center,Charitable,11/6/13,
,02/25/13,California Financial Service Providers Association,Sacramento,CA,"5,000",Roberts Family Development Center,Sacramento,CA,Fundraiser (Dinner) on behalf of the Roberts Family Development Center,Charitable,11/6/13,
,04/30/13,Sacramento Association of Realtors,Sacramento,CA,"5,000",Gifts to Share:  Celebrate California,Sacramento,CA,Celebrate Sacramento Community Fair held in William Land Park,Charitable,11/6/13,
,05/31/13,Wells Fargo,Sacramento,CA,"5,000",Gifts to Share:  Celebrate California,Sacramento,CA,Celebrate Sacramento Community Fair held in William Land Park,Charitable,11/6/13,
,08/13/13,California Endowment,Sacramento,CA,"5,000",California State University - Sacramento,Sacramento,CA,Es El Momento- Education Fair held at Sacramento State University,Charitable,9/12/13,
,10/09/13,Kaiser Permanente,Sacramento,CA,"2,500",Gifts to Share:  Celebrate California,Sacramento,CA,Celebrate Sacramento Community Fair held in William Land Park,Charitable,11/6/13,
,,,,,,,,,,,,"37,500"
"Eggman, Susan",11/25/13,Capitol Network,Sacramento,CA,"5,000",Women's Center-Youth and Family Services,Stockton,CA,Capitol Network Grant,Charitable,12/18/13,
,,,,,,,,,,,,"5,000"
"Fong, Paul",12/20/13,Southern California Edison,Rosemead,CA,"25,000",Asian & Pacific Islander Legislative Caucus (APILC) Foundation,Sacramento,CA,"Sponsorship for the APILC Foundation's Asian & Pacific Islander American (APIA) Heritage Month Gala, honoring leaders in the APIA community",Charitable,1/28/14,
,,,,,,,,,,,,"25,000"
"Gaines, Beth",1/10/13,"Kaiser Permanente Financial Services, OPS",Pasadena,CA,"2,500",Northern California Women's Forum,Willows,CA,The Northern California Women's Forum is an annual event that provides education and resources of interest to women and families,Charitable,10/25/13,
,05/14/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Rock Creek Elementary School,Rocklin,CA,This was a charitable grant to assist in the purchase of library books and the establishment of an after school book club,Charitable,5/28/13,
,09/05/13,Consolidated Communications,Mattoon,IL,"5,000",Northern California Women's Forum,Willows,CA,The Northern California Women's Forum is an annual event that provides education and resources of interest to women and families,Charitable,10/25/13,
,09/05/13,"Kaiser Permanente Financial Services, OPS",Pasadena,CA,"2,500",Northern California Women's Forum,Willows,CA,The Northern California Women's Forum is an annual event that provides education and resources of interest to women and families,Charitable,10/25/13,
,10/05/13,Thunder Valley,Lincoln,CA,"7,127",Northern California Women's Forum,Willows,CA,The Northern California Women's Forum is an annual event that provides education and resources of interest to women and families,Charitable,11/6/13,
,,,,,,,,,,,,"22,127"
"Garcia, Cristina",09/11/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Bell Gardens Intermediate School,Bell Gardens,CA,Bell Gardens Intermediate School received funds for tools and materials for the Environmental Garden Club,Governmental,9/16/13,
,11/25/13,California Capitol Network,Sacramento,CA,"5,000",Su Casa - Ending Domestic Violence,Long Beach,CA,Grant for general operating support,Charitable,12/18/13,
,,,,,,,,,,,,"10,000"
"Gatto, Mike",01/28/13,Joseph Cappuccio and Eva Larue,Woodland Hills,CA,"10,000",Italian American Museum of Los Angeles,Los Angeles,CA,"Museum operation, exhibit development, and restoration and preservation of historic building.",Charitable,2/13/13,
,07/03/13,GTech,West Greenwich,RI,"20,683","Glendale Unified School District, Columbus Elementary School",Glendale,CA,This donation will help students with their technology lessons,Charitable,8/27/13,
,10/04/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Thomas Starr King Middle School,Los Angeles,CA,This grant assisted in the purchase of 12 iPad minis and six eBooks to update the library's collection and technology,Charitable,12/2/13,
,10/18/13,Southern California Gas Company,Los Angeles,CA,"5,000",Glendale Unified School District ,Glendale,CA,Donation to Glendale Unified School District to provide opportunities that promote financial literacy in students,Charitable,1/28/14,
,,,,,,,,,,,,"40,683"
"Gorell, Jeff",01/14/13,Santa Ynez Band of Mission Indians,Santa Ynez,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,2/4/13,
,01/25/13,Northrop Grumman Systems Corp,Irving,CA,"25,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,2/13/13,
,01/16/13,Gene Hass Foundation,Oxnard,CA,"10,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,2/13/13,
,02/19/13,"Aerovironment, Inc.",Monrovia,CA,"10,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,3/1/13,
,02/26/13,"Global Energy & Technology, Inc.",Ventura,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,4/9/13,
,03/05/13,"ALCOA, Inc.",Torrance,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/09/13,
,03/14/13,California Business Roundtable,Sacramento,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/23/13,
,03/18/13,Jeff Gorell for Assembly 2012,Ranch Santa Margarita,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/23/13,
,,,,,,,,,,,,"70,000"
"Gomez, Jimmy",09/13/13,AltaMed,Los Angeles,CA,"5,000",InnerCity Struggle,Los Angeles,CA,Support for Health and Community Fair,Charitable,10/04/13,
,10/23/13,AltaMed,Los Angeles,CA,"5,000",InnerCity Struggle,Los Angeles,CA,Support for Health and Community Fair,Charitable,12/02/13,
,12/19/13,"Hasbro, Inc.",Pawtucket,RI,"36,800",Barrio Action Youth & Family Center,Los Angeles,CA,Donations were for a Holiday Toy Giveaway,Charitable,01/28/14,
,,,,,,,,,,,,"46,800"
"Grove, Shannon",09/09/13,The Cynthia Lake Charitable Trust,Bakersfield,CA,"10,000",Alzheimer's Disease Association of Kern County Inc.,Bakersfield,CA,This is a benefit dinner for the Alzheimer's Disease Association of Kern County,Charitable,03/07/14,
,10/10/13,Dignity Health,Bakersfield,CA,"7,500",Alzheimer's Disease Association of Kern County Inc.,Bakersfield,CA,This a benefit dinner for the Alzheimer's Disease Association of Kern County,Charitable,11/14/13,
,10/28/13,"KS Industries, LP",Bakersfield,CA,"15,000",Alzheimer's Disease Association of Kern County Inc.,Bakersfield,CA,This is a benefit dinner for the Alzheimer's Disease Association of Kern County,Charitable,11/14/13,
,10/28/13,Ray and Joan Dezember,Bakersfield,CA,"10,000",Alzheimer's Disease Association of Kern County Inc.,Bakersfield,CA,This is a benefit dinner for the Alzheimer's Disease Association of Kern County,Charitable,11/14/13,
,,,,,,,,,,,,"42,500"
"Hagman, Curt",02/19/13,"Aerovironment, Inc.",Monrovia,CA,"10,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,03/01/13,
,02/19/13,"ALCOA, Inc.",Torrance,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,03/19/13,
,02/22/13,"Global Energy & Technology, Inc.",Ventura,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,03/19/13,
,2/29/13,United Way Inland Empire,Rancho Cucamonga,CA,"5,000",Cal. Poly Pomona College of Business Administration,Pomona,CA,"""Tax Day"" - event for lower-income families to receive assistance with tax returns from CPP students at Cal Ploy Pomona",Charitable,04/09/13,
,03/02/13,Cal Poly Pomona,Pomona,CA,"8,725",Cal. Poly Pomona College of Business Administration,Pomona,CA,"""Tax Day"" - event for lower-income families to receive assistance with tax returns from CPP students at Cal Ploy Pomona",Charitable,04/09/13,
,03/14/13,Kirk M. Clark/California Business Roundtable,Sacramento,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,04/09/13,
,03/18/13,Jeff Gorrell for Assembly 2012,Rancho Santa Margarita,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,04/09/13,
,,,,,,,,,,,,"43,725"
"Hall, Isadore III",12/17/13,GTECH Corporation,Providence,RI,"5,000",Progress California,Los Angeles,CA,Event:  Community Health Fair and Annual Turkey Giveaway,Charitable,3/6/14,
,,,,,,,,,,,,"5,000"
"Hernandez, Roger",11/08/13,VSP Vision Care,Rancho Cordova,CA,"75,845",Rimgrove Park,Valinda,CA,Comprehensive eye health care services at daylong community service event with community service organization,Charitable,1/28/14,
,,,,,,,,,,,,"75,845"
"Jones, Brian",07/30/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Clover Flat Elementary School,Boulevard,CA,Monetary Grant benefitting a local school,Charitable,08/05/13,
,,Barona Band of Mission Indians,Lakeside,CA,"5,000",Clover Flat Elementary School,Boulevard,CA,"Grant to assist in the purchase of new, updated technology to enhance the school's technology and historical programs",Charitable,09/13/13,
,,,,,,,,,,,,"10,000"
"Linder, Eric",09/19/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Troth Elementary School,Jurupa Valley,CA,The grant to Troth Elementary will be used for the development of a community school helping to mobilize community assets & support student access,Charitable,10/04/13,
,,,,,,,,,,,,"5,000"
"Lowenthal, Bonnie",09/12/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",California Academy of Mathematics and Science (CAMS),Carson,CA,Purchase of document cameras and video cameras and video cameras for the high school,Charitable,12/02/13,
,,,,,,,,,,,,"5,000"
"Maienschein, Brian",08/23/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Christ the Cornerstone Academy,San Diego,CA,The Assemblymember wrote a letter of endorsement for Christ the Cornerstone to assist in the purchase of TCI Interactive Social Studies curriculum,Charitable,09/04/13,
,09/04/13,California State Wildlife Conservation Board,Sacramento,CA,"1,005,000",River Partners (NonProfit Organization),Chico,CA,Grant from CA WCB to provide riparian habitat restoration,Governmental,03/07/14,"1,010,000"
"Mansoor, Allan",07/31/13,Barona Band of Mission,Lakeside,CA,"5,000",Mariners Elementary School,Newport Beach,CA,To assist in the purchase of media equipment to enhance music classroom & students individual techniques,Charitable,02/14/14,
,,,,,,,,,,,,"5,000"
"Melendez, Melissa",08/30/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Ridgemoor Elementary School,Menifee,CA,Funding for library books and computers,Charitable,03/07/14,
,,,,,,,,,,,,"5,000"
"Mitchell, Holly",03/15/13,California Dental Association,Sacramento,CA,"5,000",California Legislative Black Caucus,Los Angeles,CA,California Legislative Black Caucus-Women's History Month Breakfast,Charitable,04/23/13,
