"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
SENATE 2012,,,Last Updated,,,,,,,,,
,,,2/4/2014,,,,,,,,,
OFFICIAL,"DATE OF 
PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC 
PURPOSE","NOTICE 
RECEIVED","YTD AMOUNT 
BY MEMBER"
"Vargas, Juan",9/5/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Democratic Congressional Campaign,Washington,DC,The contribution was requsted to support the fundraising efforts of the DCCC to elect Democratic Members of Congress in 12,Governmental,9/28/12,
,9/24/12,Marc Chase,La Jolla,CA,"30,000",Democratic Congressional Campaign,Washington,DC,Fundraising efforts for the DCC for November 2012 Election.,Governmental,10/17/12,
,,,,,,,,,,,,"35,000"
"Wright, Roderick",12/15/11,AT&T,Sacramento,CA,"10,000",National Family Life & Education Center,Los Angeles,CA,"Donation for youth, education & health programs",Charitable,1/10/12,
,5/19/12,South Coast Air Quality Management District,Diamond Bar,CA,"5,000",National Family Life & Education Center,Los Angeles,CA,Donation for Student Honors Recognition Event,Charitable,6/6/12,
,5/29/12,The Gas Company,Los Angeles,CA,"2,500",National Family Life & Education Center,Los Angeles,CA,Donation for Student Honors Recognition Event,Charitable,6/14/12,
,5/30/12,GTECH,West Greenwich,RI,"5,000",National Family Life & Education Center,Los Angeles,CA,Donation for Student Honors Recognition Event,Charitable,6/14/12,
,6/27/12,Edison International,Rosemead,CA,"2,500",National Family Life & Education Center,Los Angeles,CA,Student Honors Recognition Event,Charitable,7/16/12,
,6/28/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",San Pedro High School,San Pedro,CA,Barona Education Grant,Charitable,7/11/12,
,7/9/12,AT&T,Sacramento,CA,"5,000",National Family Life & Education Center,Los Angeles,CA,Student Honors Recognition Event,Charitable,8/6/12,
,10/6/12,Time Warner Cable,Chatsworth,CA,"5,000",National Family Life & Education Center,Los Angeles,CA,Donation for School Readiness and Health Fair,Charitable,10/23/12,
,10/12/12,AT&T,Sacramento,CA,"25,000",National Family Life & Education Center,Los Angeles,CA,Donation for School Readiness and Health Fair,Charitable,11/6/12,
,11/13/12,Barona Band of Mission Indians,Lakeside,CA,"2,500",National Family Life & Education Center,Los Angeles,CA,Donation for Community Holiday Event,Charitable,12/10/12,
,11/30/12,AT&T,Sacramento,CA,"2,500",National Family Life & Education Center,Los Angeles,CA,Donation for Community Holiday Event,Charitable,1/8/13,
,,,,,,,,,,,,"70,000"
"Yee, Leland",5/12/12,Kaiser Permanente,San Francisco,CA,"5,000","Rams, Inc.",San Francisco,CA,Charitable Support for the local Richmond District Community Health Festival,Charitable,6/14/12,
,10/29/12,Pacific Gas & Electric Company,Sacramento,CA,"5,000","Bay Culture, Inc.",San Ramon,CA,Monetary grant,Charitable,11/16/12,
,,,,,,,,,,,,"10,000"
,,,,,,,,,,,,
,,,,,"1,175,913",,,,,,,"1,175,913"
